"","Evaluation","Task","Architecture"
"1016","Regression","Architectural Reconstruction","Artificial Neural Network"
"1021","Classification","Artefact Classification","Artificial Neural Network"
"1022","Classification","Artefact Classification","Artificial Neural Network"
"1031","Regression","Chronology","Artificial Neural Network"
"1041","Classification","Image Segmentation","Artificial Neural Network"
"1051","Classification","Artefact Classification","Artificial Neural Network"
"1052","Classification","Artefact Classification","Ensemble Learning"
"1053","Classification","Artefact Classification","Artificial Neural Network"
"1061","Classification","Archaeological Structure Classification","Decision Trees and Rule Induction"
"1071","Classification","Artefact Classification","Artificial Neural Network"
"1081","Regression","Environmental Reconstruction","Ensemble Learning"
"1091","Regression","Environmental Reconstruction","Ensemble Learning"
"1101","Regression","Archaeological Predictive Model","Ensemble Learning"
"1116","Clustering","Data Quality Improvement","Unsupervised Learning and Clustering"
"1121","Regression","Archaeological Predictive Model","Ensemble Learning"
"1122","Regression","Archaeological Predictive Model","Ensemble Learning"
"1123","Regression","Archaeological Predictive Model","Ensemble Learning"
"1124","Regression","Archaeological Predictive Model","Ensemble Learning"
"1131","Classification","Artefact Classification","Decision Trees and Rule Induction"
"1132","Classification","Artefact Classification","Ensemble Learning"
"1133","Classification","Artefact Classification","Ensemble Learning"
"1134","Classification","Artefact Classification","Ensemble Learning"
"1135","Classification","Artefact Classification","Ensemble Learning"
"1141","Classification","Automatic Structure Detection","Artificial Neural Network"
"1151","Regression","Archaeological Predictive Model","Ensemble Learning"
"1161","Classification","Taphonomic Classification","Nearest Neighbour Classifier"
"1162","Classification","Taphonomic Classification","Ensemble Learning"
"1163","Classification","Taphonomic Classification","Artificial Neural Network"
"1164","Classification","Taphonomic Classification","Decision Trees and Rule Induction"
"1165","Classification","Taphonomic Classification","Ensemble Learning"
"1171","Classification","Automatic Structure Detection","Artificial Neural Network"
"1181","Classification","Sourcing","Nearest Neighbour Classifier"
"1182","Classification","Sourcing","Ensemble Learning"
"1183","Classification","Sourcing","Artificial Neural Network"
"1191","Classification","Automatic Structure Detection","Artificial Neural Network"
"1192","Classification","Automatic Structure Detection","Artificial Neural Network"
"1193","Classification","Automatic Structure Detection","Artificial Neural Network"
"1194","Classification","Automatic Structure Detection","Artificial Neural Network"
"1201","Classification","Automatic Structure Detection","Ensemble Learning"
"1216","Classification","Artefact Classification","Artificial Neural Network"
"1221","Classification","Automatic Structure Detection","Artificial Neural Network"
"1231","Classification","Artefact Classification","Artificial Neural Network"
"1241","Regression","Artefact Prediction","Ensemble Learning"
"1242","Regression","Artefact Prediction","Ensemble Learning"
"1243","Regression","Artefact Prediction","Bayesian Classifier"
"1251","Classification","Automatic Structure Detection","Artificial Neural Network"
"1252","Classification","Automatic Structure Detection","Artificial Neural Network"
"1261","Classification","Artefact Classification","Artificial Neural Network"
"1262","Classification","Artefact Classification","Artificial Neural Network"
"1271","Regression","Archaeological Predictive Model","Ensemble Learning"
"1281","Classification","Architectural Element Classification","Artificial Neural Network"
"1291","Classification","Artefact Classification","Ensemble Learning"
"1292","Classification","Artefact Classification","Artificial Neural Network"
"1293","Classification","Artefact Classification","Decision Trees and Rule Induction"
"1301","Regression","Dispersion Models","Unsupervised Learning and Clustering"
"1316","Regression","Spectra Prediction","Artificial Neural Network"
"1321","Classification","Automatic Structure Detection","Artificial Neural Network"
"1322","Classification","Automatic Structure Detection","Artificial Neural Network"
"1323","Classification","Automatic Structure Detection","Artificial Neural Network"
"1331","Classification","Text Extraction","Artificial Neural Network"
"1332","Classification","Text Extraction","Artificial Neural Network"
"1341","Classification","Artefact Classification","Artificial Neural Network"
"1342","Classification","Artefact Classification","Artificial Neural Network"
"1351","Classification","Automatic Structure Detection","Artificial Neural Network"
"1361","Regression","Artefact Prediction","Ensemble Learning"
"1362","Regression","Artefact Prediction","Linear Classifier"
"1363","Regression","Artefact Prediction","Ensemble Learning"
"1371","Classification","Artefact Classification","Artificial Neural Network"
"1372","Classification","Artefact Classification","Artificial Neural Network"
"1381","Regression","Artefact Prediction","Artificial Neural Network"
"1391","Classification","Artefact Classification","Artificial Neural Network"
"1392","Classification","Artefact Classification","Artificial Neural Network"
"1393","Classification","Artefact Classification","Artificial Neural Network"
"1394","Classification","Artefact Classification","Artificial Neural Network"
"1401","Classification","Automatic Structure Detection","Artificial Neural Network"
"1416","Classification","Architectural Element Classification","Artificial Neural Network"
"1421","Classification","Artefact Classification","Nearest Neighbour Classifier"
"1431","Classification","Automatic Structure Detection","Unsupervised Learning and Clustering"
"1441","Classification","Architectural Element Classification","Artificial Neural Network"
"1451","Classification","Architectural Element Classification","Linear Classifier"
"1461","Classification","Automatic Structure Detection","Artificial Neural Network"
"1462","Classification","Automatic Structure Detection","Artificial Neural Network"
"1463","Classification","Automatic Structure Detection","Artificial Neural Network"
"1464","Classification","Automatic Structure Detection","Artificial Neural Network"
"1465","Classification","Automatic Structure Detection","Artificial Neural Network"
"1471","Classification","Architectural Element Classification","Ensemble Learning"
