Name;ID;Date;Algorithms;Architecture;Field;Evaluation;Task;Input;Results
Grilli and Remondino 2019-1;ID029;2019;"RF; LB; C4.5; RT; REPTree; FRF";"Ensemble Learning;Ensemble Learning;Decision Trees and Rule Induction;Decision Trees and Rule Induction;Decision Trees and Rule Induction;Ensemble Learning";Conservation and Cataloguing;Classification;Architectural Element Classification;3D Model;Unsuccessful
Grilli and Remondino 2019-2;ID029;2019;kNN;Nearest Neighbour Classifier;Conservation and Cataloguing;Clustering;Image Segmentation;3D Model;Mixed results
Lambers et al. 2019;ID030;2019;VGG;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Orengo and Garcia-Malosa 2019;ID031;2019;"SVM; CART; RF";"Linear Classifier;Decision Trees and Rule Induction;Ensemble Learning";Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Pargeter et al. 2019;ID032;2019;RF;Ensemble Learning;"Experimental Archaeology;Classification (of material) and Typology";Classification;Artefact Classification;Artefact Measurements;Mixed results
Stott et al. 2019;ID033;2019;RF;Ensemble Learning;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Toth and Vidacs 2019;ID034;2019;;;;;;;
Trier et al. 2018;ID035;2018;ResNet;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Vahdati et al. 2019;ID036;2019;"RF; kNN; GboostRT";"Ensemble Learning;Nearest Neighbour Classifier;Ensemble Learning";"Landscape Archaeology;Cognitive Archaeology";Regression;Dispersion Models;Remote Sensing Images;Successful
Wärmländer 2019;ID037;2019;"LR; kNN";"N/A;Nearest Neighbour Classifier";"Bioarchaeology (Biological Anthropology);Experimental Archaeology";Regression;Biochemical Prediction;Small Scale Images;Successful
Bundzel et al. 2020;ID038;2020;"U-Net; MR-CNN";"Artificial Neural Network;Artificial Neural Network";Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Casana 2020;ID039;2020;;;;;;;
David and Douglass 2020;ID040;2020;;;Theory;Theory;Theory;Theory;
Ginau et al. 2020;ID041;2020;FNN;Artificial Neural Network;Geoarchaeology;Classification;Chronology;Spectra;Mixed results
Hansen and Nebel 2020;ID042;2020;RF;Ensemble Learning;Landscape Archaeology;Regression;Archaeological Predictive Model;Remote Sensing Images;Unsuccessful
He et al. 2020;ID043;2020;;;;;;;
Ibrahim et al. 2020;ID044;2020;;;;;;;
Liu et al. 2020;ID045;2020;;;;;;;
Lopez-Bulto 2020;ID046;2020;;;;;;;
Moclán et al. 2020-2;ID047;2020;"RF; kNN; C5.0; NB; SVM; FNN";"Ensemble Learning;Nearest Neighbour Classifier;Decision Trees and Rule Induction;Bayesian Classifier;Linear Classifier;Artificial Neural Network";"Taphonomic;Zooarchaeology";Classification;Taphonomic Classification;Artefact Measurements;Methodological issue
Moclán et al. 2020-1;ID047;2020;C5.0;Decision Trees and Rule Induction;"Taphonomic;Experimental Archaeology;Zooarchaeology";;;Artefact Measurements;
Monna et al. 2020;ID048;2020;"NC; NB; kNN; SVM; RF; FNN";"Unsupervised Learning and Clustering;Bayesian Classifier;Nearest Neighbour Classifier;Linear Classifier;Ensemble Learning;Artificial Neural Network";Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Naito et al. 2020;ID049;2020;;;;;;;
O'Bryon et al. 2020;ID050;2020;;;;;;;
Ramazzotti 2020;ID051;2020;;;Theory;Theory;Theory;Theory;
Serna et al. 2020;ID052;2020;RF;Ensemble Learning;"Landscape Archaeology;Cognitive Archaeology";Regression;Environmental Reconstruction;Remote Sensing Images;Successful
Soroush et al. 2020;ID053;2020;CNN;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Mixed results
Stewart et al. 2020;ID054;2020;;;;;;;
Sutko 2020;ID055;2020;;;;;;;
Uddin et al. 2020;ID056;2020;;;;;;;
